충전소주소,충전기타입,충전기ID,충전기명칭,충전기 상태 코드,충전방식,충전소ID,충전소 명칭,위도,경도,충전기 상태 갱신 시각
강원도 강릉시 입암동 599 성덕동주민센터 지상주차장,급속,5952,급속01,충전중,DC차데모+DC콤보+AC3상,2103,성덕동주민센터,37.7635095091067,128.913757803264,2024-05-27 16:15:00
"대전광역시 동구 용전동 9-7 본부 정문기준 좌,우측 주차장 각 1기",완속,1330,완속12,충전가능,BC타입(5핀),46,대전충남직할(공용),36.358205,127.435381,2023-07-11 08:55:59
"대전광역시 동구 용전동 9-7 본부 정문기준 좌,우측 주차장 각 1기",완속,1335,완속09,충전가능,BC타입(5핀),46,대전충남직할(공용),36.358205,127.435381,2023-07-11 08:58:59
전라남도 진도군 진도읍 남동리 745-46 (실외완전노출)진입 후 좌측 주차공간,급속,1010,급속01,충전가능,DC차데모+DC콤보+AC3상,126,진도지사,34.4816938155367,126.261180919379,2024-05-27 16:15:00
서울특별시 서초구 효령로 72길 60 1층 주차장/지하1층 주차장,급속,538,급속01,충전가능,DC차데모+DC콤보+AC3상,102,서초지사,37.48560466,127.028077,2024-05-27 16:15:00
경기도 시흥시 장현동 300 시흥시청 후문,급속,5922,급속01,충전가능,DC차데모+DC콤보+AC3상,2076,시청 입구 주차장,37.38036872314794,126.80407066193405,2024-05-27 16:14:26
전라남도 나주시 빛가람동 120 본사내 남측 주차장,완속,28,완속05,고장/점검,BC타입(5핀),293,한전본사 남측주차장(공용),35.02523495981864,126.78296400994627,2022-01-03 08:54:22
경기도 고양시 일산서구 대화동 2311 건설연구원 주차장(입구에서 우측),완속,120,완속01,충전가능,BC타입(5핀),106,한국건설기술연구원,37.6713064526216,126.740089095339,2024-05-27 16:15:53
전라남도 여수시 율촌면 조화리 65-1 (실외완전노출) 주차장 입구,급속,6025,급속01,충전가능,DC차데모+DC콤보+AC3상,2158,율촌도서관 공영주차장,34.883824,127.578332,2024-05-27 16:15:00
전라남도 여수시 돌산읍 율림리 6-5 (실내지상)향일암일출광장 주차장 2층,급속,6027,급속01,충전가능,DC차데모+DC콤보+AC3상,2159,향일암 주차장,34.594496,127.804081,2024-05-27 16:15:37
경상북도 영천시 오수동 286 지상주차장,급속,6044,급속01,충전가능,DC차데모+DC콤보+AC3상,2171,이마트 영천점,35.957674,128.911294,2024-05-27 16:17:19
경상북도 경주시 천북면 모아리 587-2 지상주차장,급속,6049,급속01,충전가능,DC차데모+DC콤보+AC3상,2175,천북농협 로컬푸드,35.9193808512211,129.245462759408,2024-05-27 16:12:23
"대구광역시 동구 공항로 221 (지저동, 대구국제공항) 본관 전면주차장",급속,6058,급속01,충전가능,DC차데모+DC콤보+AC3상,2182,대구공항,35.900139,128.636866,2024-05-27 16:16:37
"대구광역시 동구 공항로 221 (지저동, 대구국제공항) 본관 전면주차장",급속,6061,급속04,충전중,DC차데모+DC콤보+AC3상,2182,대구공항,35.900139,128.636866,2024-05-27 16:15:00
전라북도 무주군 무주읍 죽향로 31-16 지사 주차장 출입구 옆,급속,964,급속01,충전가능,DC차데모+DC콤보+AC3상,315,무주지사,36.008981,127.654752,2024-05-27 16:12:46
제주특별자치도 제주시 용담2동 1950-5 주차장,급속,6122,급속05,고장/점검,DC차데모+DC콤보+AC3상,2229,제주공항,33.5047571414185,126.493375539139,2024-05-27 16:15:23
제주특별자치도 제주시 용담2동 1950-5 주차장,완속,6129,완속03,충전가능,BC타입(5핀),2229,제주공항,33.5047571414185,126.493375539139,2024-05-27 16:15:19
서울특별시 양천구 신정동 319-1 1층 주차장 정면,급속,339,급속01,충전가능,DC차데모+DC콤보+AC3상,17,강서양천지사,37.519306243325126,126.86845423356458,2024-05-27 16:15:00
서울특별시 강서구 방화동 886 국제선 1층 버스정류장 도로변 끝,급속,1241,급속01,충전가능,DC차데모+DC콤보+AC3상,393,한국공항공사 서울,37.564285,126.800266,2024-05-27 16:13:57
서울특별시 동작구 동작대로 19 입구우측 문폐쇄시 ☎025802268,급속,342,급속01,충전가능,DC차데모+DC콤보+AC3상,19,관악동작지사,37.47830829,126.9809567,2024-05-27 16:12:48
서울특별시 동작구 대방동 345-1 지하3층 좌측 주차장,급속,1180,급속01,충전가능,DC차데모+DC콤보+AC3상,342,서울시여성가족재단,37.5111456,126.926809,2024-05-27 16:11:48
대구광역시 북구 칠성동2가 20-1 지하주차장 3층 B6구역,급속,6073,급속01,충전가능,DC차데모+DC콤보+AC3상,2190,이마트 칠성점,35.88523860320275,128.5902685448322,2024-05-27 16:14:36
경기도 안산시 단원구 고잔동 518-1 지사 후문 지상주차장 중심부근,완속,1406,완속08,충전가능,BC타입(5핀),26,안산지사(공용),37.3205947738806,126.827539082891,2020-07-07 17:45:59
경기도 안양시 동안구 호계동 921 지상주차장 입구 좌측 담장측,완속,1420,완속08,충전가능,C타입(5핀),27,안양지사,37.3838866689132,126.947281339203,2024-05-27 16:14:59
서울특별시 송파구 신천동 29-5 송파구청 앞 지상 1층 주차장 직진 후 우측,급속,125,급속01,충전중,DC차데모+DC콤보+AC3상,108,송파구청,37.514474,127.105464,2024-05-27 16:15:00
서울특별시 강동구 구천면로 42길 60(천호동) 지하1층 주차장 좌측 바로 앞,급속,664,급속02,충전가능,DC차데모+DC콤보+AC3상,225,천호1동 공영주차장,37.545049,127.136282,2024-05-27 16:14:43
서울특별시 종로구 소격동 165-10 지하3층 주차장 6번 기둥,급속,820,급속02,통신장애,DC차데모+DC콤보+AC3상,283,국립현대미술관 서울관,37.57820177225802,126.9801122216367,2024-05-24 09:34:24
경기도 포천시 원모루로 12 1층주차장(입구에서 좌측),급속,868,급속01,충전가능,DC차데모+DC콤보+AC3상,300,포천지사,37.890157,127.19497,2024-05-27 16:14:43
충청남도 태안군 태안읍 남문리 692-5 정문에서 좌측 지상주차장,급속,922,급속01,충전가능,DC차데모+DC콤보+AC3상,311,태안지사,36.747537,126.298746,2024-05-27 16:15:00
전라남도 완도군 완도읍 군내리 1244-18 (실외완전노출) 지상 주차장 우측,급속,1009,급속01,충전중,DC차데모+DC콤보+AC3상,318,완도지사,34.3167307528526,126.746285007459,2024-05-27 16:15:00
제주특별자치도 제주시 문연로 36 본관건물 왼쪽,급속,1153,급속02,충전중,DC차데모+DC콤보+AC3상,137,제주직할,33.48929,126.501216,2024-05-27 16:15:00
경상남도 창원시 성산구 용호동 4-2 입구앞,급속,1227,급속01,충전중,DC차데모+DC콤보+AC3상,380,LH경남본부,35.2326181603914,128.686506986453,2024-05-27 16:15:00
대전광역시 대덕구 대전로 1033번길 20 지상주차장 우측(관리실 후방),급속,1337,급속01,충전가능,DC차데모+DC콤보+AC3상,444,대전대덕구청 주차장,36.346201,127.415896,2024-05-27 16:17:04
경기도 안산시 단원구 고잔동 518-1 지사 후문 지상주차장 중심부근,급속,1403,급속02,충전가능,DC차데모+DC콤보+AC3상,26,안산지사(공용),37.3205947738806,126.827539082891,2024-05-27 16:14:36
강원도 원주시 우산동 316-9 지사주차장,급속,386,급속01,고장/점검,DC차데모+DC콤보+AC3상,44,원주지사(공용),37.372274,127.938467,2024-05-27 16:17:10
강원도 강릉시 송정동 612-11 이마트 강릉점 지상주차장,급속,5954,급속01,충전중,DC차데모+DC콤보+AC3상,2105,이마트 강릉점,37.771576,128.92239,2024-05-27 16:15:00
강원도 춘천시 효자동 531 입구옆 주차장,급속,5938,급속01,충전가능,DC차데모+DC콤보+AC3상,2090,춘천극장몸짓,37.872498,127.727309,2024-05-27 16:15:19
제주특별자치도 제주시 용담2동 1950-5 주차장,완속,6127,완속01,충전가능,BC타입(5핀),2229,제주공항,33.5047571414185,126.493375539139,2024-05-27 16:17:15
경기도 용인시 처인구 김량장동 87-15 지상 주차장 좌측(후문앞),완속,1410,완속06,충전가능,C타입(5핀),29,동용인지사(공용),37.2346571058971,127.205697161344,2024-05-27 16:15:59
전라남도 나주시 성북동 145-6 우측 입구,급속,1201,급속01,충전가능,DC차데모+DC콤보+AC3상,357,성북동 주민센터,35.03507792324215,126.71921434728729,2024-05-27 16:14:28
대구광역시 달서구 두류동 597-3 지상주차장(테니스장 맞은편 안쪽),완속,1364,완속01,충전중,BC타입(5핀),238,두류공원 테니스장,35.852511,128.556326,2024-05-27 16:15:00
제주특별자치도 서귀포시 안덕면 사계남로216번길 28 산방산랜드 근처 공영주차장 위쪽,완속,1491,완속01,충전가능,BC타입(5핀),438,용머리해안,33.2339822,126.3111,2024-05-27 16:16:08
제주특별자치도 서귀포시 화순서서로 59 레저파크텔 맞은편 주차장 도로쪽,급속,1483,급속01,충전가능,DC차데모+DC콤보+AC3상,434,안덕생활체육관,33.256075,126.328364,2024-05-27 16:14:16
제주특별자치도 서귀포시 화순로 56번길 20 도로측 오른쪽 주차장,급속,1494,급속01,충전가능,DC차데모+DC콤보+AC3상,440,청소년 문화의 집,33.249783,126.337094,2024-05-27 16:17:36
대구광역시 수성구 대흥동 504 버스주차장,완속,1355,완속01,충전가능,BC타입(5핀),232,대구스타디움 버스주차장,35.826554,128.685269,2024-05-27 16:14:26
대구광역시 북구 원대로 110 사옥내 주차장,급속,182,급속02,충전가능,DC차데모+DC콤보+AC3상,61,대구직할(공용),35.886482,128.583484,2024-05-27 16:17:20
제주특별자치도 제주시 한림읍 월림7길 90 본관건물 왼쪽,급속,2179,급속01,충전가능,DC차데모+DC콤보+AC3상,678,서부농업기술센터,33.3537618162234,126.24868567471,2024-05-27 16:16:35
강원도 태백시 황지동 201-22 지사주차장,급속,774,급속01,통신장애,DC차데모+DC콤보+AC3상,267,태백지사,37.158349,128.987216,2024-05-27 12:05:00
전라북도 전주시 덕진구 인후동2가 1559-87 본관 뒤 주차장,급속,506,급속02,충전중,DC차데모+DC콤보+AC3상,132,전북직할(공용),35.846558,127.149286,2024-05-27 16:15:00
경기도 안성시 석정동 270-22 지상주차장 후면,급속,357,급속01,충전가능,DC차데모+DC콤보+AC3상,145,안성지사,37.007845,127.264712,2024-05-27 16:13:45
충청남도 홍성군 홍성읍 충서로 1417-6 정문 좌측 장애인주차장 옆,급속,924,급속01,충전가능,DC차데모+DC콤보+AC3상,312,홍성지사,36.602349,126.652261,2024-05-27 16:17:24
강원도 평창군 대관령면 용산리 130 그린변전실 앞 지상주차장,급속,6682,급속01,충전가능,DC차데모+DC콤보+AC3상,2443,용평리조트,37.644172,128.676355,2024-05-27 16:17:02
충청북도 청주시 서원구 성화동 829 직할 사옥 1층 고객주차장 앞,완속,166,완속05,충전가능,BC타입(5핀),54,충북직할(공용),36.6152481385391,127.450533341185,2024-05-27 16:15:59
광주광역시 북구 오치동 991 (실외캐노피기설) 정문 주차장 우측,완속,256,완속03,충전가능,BC타입(5핀),92,광주전남직할(공용),35.1850475656246,126.906775080705,2019-06-21 11:21:07
전라남도 담양군 담양읍 백동리 348-1 (실외완전노출) 지사 우측 주차장,급속,259,급속01,충전중,DC차데모+DC콤보+AC3상,95,담양지사,35.3094042333056,126.98406851966,2024-05-27 16:15:00
제주특별자치도 제주시 한림읍 월림7길 90 본관건물 왼쪽,급속,2180,급속02,충전가능,DC차데모+DC콤보+AC3상,678,서부농업기술센터,33.3537618162234,126.24868567471,2024-05-27 16:15:00
대구광역시 수성구 범어동 630-1 지상주차장,급속,681,급속01,충전가능,DC차데모+DC콤보+AC3상,237,수성구민운동장,35.851314,128.629358,2024-05-27 16:14:31
대구광역시 달서구 두류동 597-3 지상주차장(테니스장 맞은편 안쪽),급속,682,급속01,충전가능,DC차데모+DC콤보+AC3상,238,두류공원 테니스장,35.852511,128.556326,2024-05-27 16:14:09
대구광역시 달서구 두류동 597-3 지상주차장(테니스장 맞은편 안쪽),급속,683,급속02,충전가능,DC차데모+DC콤보+AC3상,238,두류공원 테니스장,35.852511,128.556326,2024-05-27 16:10:51
광주광역시 광산구 수완동 936 (실외) 보건소 옆 주차장,급속,697,급속01,충전중,DC차데모+DC콤보+AC3상,250,수완동 행정복지센터,35.1970953091252,126.825836694714,2024-05-27 16:15:00
광주광역시 광산구 운남동 387-25 (실외)입구에서 직진 후 우측,급속,699,급속01,충전중,DC차데모+DC콤보+AC3상,252,운남동 행정복지센터,35.1729652456176,126.821874811418,2024-05-27 16:15:00
제주특별자치도 제주시 한림읍 한림중앙로 150 북측 주차장,급속,706,급속01,충전가능,DC차데모+DC콤보+AC3상,256,서부소방서,33.402687,126.270434,2024-05-27 16:13:29
제주특별자치도 제주시 아라1동 4-17 입구 주차장(기종 충전기 주변),급속,711,급속02,고장/점검,DC차데모+DC콤보+AC3상,258,제주의료원,33.445522,126.560081,2024-05-27 10:54:41
전라남도 신안군 안좌면 읍동리 1105 (실외완전노출)사옥내 주차장 우측,급속,1008,급속01,통신장애,DC차데모+DC콤보+AC3상,122,신안지사,34.7547893023554,126.125828438682,2024-05-11 15:03:29
광주광역시 서구 농성동 649-8 (실외완전노출)지상주차장,완속,1017,완속01,충전가능,BC타입(5핀),319,광주전남전력관리처(공용),35.152576142405344,126.88297919853167,2024-05-27 16:16:59
대구광역시 북구 원대로 110 사옥내 주차장,완속,1022,완속13,충전가능,BC타입(5핀),61,대구직할(공용),35.886482,128.583484,2024-05-27 16:14:02
서울특별시 강남구 언주로 211 왼쪽 지상주차장 진입 후 100미터,급속,1172,급속01,고장/점검,DC차데모+DC콤보+AC3상,336,강남세브란스 병원,37.492949,127.046255,2024-05-27 11:03:17
서울특별시 서초구 서초동 산 130-19 음악당 콘서트홀 버스주차장 입구 좌측,급속,1178,급속01,충전가능,DC차데모+DC콤보+AC3상,340,예술의 전당,37.47982020309577,127.0120803757762,2024-05-27 16:12:56
경상남도 창원시 마산합포구 동성동 314 마산어시장고객지원센터 정면 오른쪽지상주차장,급속,214,급속01[VP],충전가능,DC차데모+DC콤보+AC3상,77,마산어시장고객지원센터,35.203899,128.579304,2024-05-27 16:15:00
서울특별시 강남구 언주로 211 왼쪽 지상주차장 진입 후 100미터,급속,1710,급속02,충전가능,DC차데모+DC콤보+AC3상,336,강남세브란스 병원,37.492949,127.046255,2024-05-27 16:17:20
충청북도 음성군 삼성면 용성리 산 41-2 음성휴게소(하) 주유소 옆,급속,7,급속01,충전가능,DC차데모+DC콤보+AC3상,3,(고속도로)음성휴게소 통영방향,37.018432,127.480797,2024-05-27 16:11:41
충청북도 음성군 삼성면 양덕리 472-3 음성휴게소(상) 주유소 옆,급속,8,급속01,충전가능,DC차데모+DC콤보+AC3상,4,(고속도로)음성휴게소 하남방향,37.022777,127.48423,2024-05-27 16:13:06
전라남도 나주시 빛가람동 120 본사내 동측 파빌리온 주차장,급속,14,급속01,충전가능,DC차데모+DC콤보+AC3상,294,한전본사 파빌리온주차장(공용),35.02589305756602,126.78555103861139,2024-05-27 16:17:12
강원도 춘천시 효자동 692-10 지상주차장,급속,839,급속01,충전가능,DC차데모+DC콤보+AC3상,399,LH강원본부,37.868893,127.728485,2024-05-27 16:12:57
전라북도 남원시 향교동 140 지사 후면 주차장,급속,954,급속02,충전가능,DC차데모+DC콤보+AC3상,172,남원지사(공용),35.416482,127.386581,2024-05-27 16:14:28
서울특별시 영등포구 문래동3가 80 영등포전력사업처 지상주차장 출구측,완속,1717,완속07,충전가능,BC타입(5핀),21,남서울직할(영등포)지사(공용),37.51990363243469,126.89351482995948,2019-06-21 11:18:02
전라북도 진안군 진안읍 군하리 427 지사 주차장,완속,1722,완속02,충전가능,BC타입(5핀),176,진안지사(공용),35.78994666845414,127.42157598863149,2024-05-27 16:13:59
경기도 안양시 동안구 호계동 921 지상주차장 입구 좌측 담장측,급속,1416,급속02,충전중,DC차데모+DC콤보+AC3상,27,안양지사,37.3838866689132,126.947281339203,2024-05-27 16:15:00
전라남도 나주시 빛가람동 120 본사내 동측 파빌리온 주차장,완속,32,완속02,충전가능,BC타입(5핀),294,한전본사 파빌리온주차장(공용),35.02589305756602,126.78555103861139,2024-05-27 16:12:31
전라남도 나주시 빛가람동 120 본사내 동측 파빌리온 주차장,완속,33,완속03,충전중,BC타입(5핀),294,한전본사 파빌리온주차장(공용),35.02589305756602,126.78555103861139,2024-05-27 16:15:00
서울특별시 중구 남산동3가 11-10 1층 주차장,급속,47,급속01,충전가능,DC차데모+DC콤보+AC3상,11,서울전력관리처,37.56073251406536,126.98779622066691,2024-05-27 16:16:55
제주특별자치도 제주시 삼도1동 305-4 본관건물 오른쪽,급속,1431,급속01,충전중,DC차데모+DC콤보+AC3상,403,LH제주본부,33.5041279145165,126.523389058763,2024-05-27 16:15:00
제주특별자치도 제주시 한림읍 용금로 883-5 미술관앞 주차장,급속,1434,급속01,충전가능,DC차데모+DC콤보+AC3상,405,김창열미술관,33.339346,126.268699,2024-05-27 16:16:14
제주특별자치도 제주시 조천읍 남조로 2109-38 베스트힐 입구 오른쪽 도로 안쪽,급속,1440,급속01,충전가능,DC차데모+DC콤보+AC3상,409,베스트힐 주차장(조천읍),33.456637,126.656834,2024-05-27 16:16:59
전라남도 목포시 용해동 115-2 (실외완전노출)우측 주차장,급속,262,급속01,충전가능,DC차데모+DC콤보+AC3상,96,목포지사,34.803454624823,126.409459883702,2024-05-27 16:17:05
대구광역시 서구 비산동 312-7 지상주차장(후문 동측 고객용),완속,1048,완속06,충전가능,BC타입(5핀),156,서대구지사,35.869746,128.570835,2019-06-21 11:19:41
대구광역시 서구 비산동 312-7 지상주차장(후문 동측 고객용),완속,1049,완속07,충전가능,BC타입(5핀),156,서대구지사,35.869746,128.570835,2024-05-27 16:16:08
서울특별시 영등포구 문래동3가 80 영등포전력사업처 지상주차장 출구측,완속,1078,완속02,충전중,BC타입(5핀),21,남서울직할(영등포)지사(공용),37.51990363243469,126.89351482995948,2024-05-27 16:15:00
서울특별시 구로구 구로동 741-44 지상주차장 좌측,급속,1080,급속01,충전가능,DC차데모+DC콤보+AC3상,395,구로4동 주택가 공동,37.48951559467744,126.88689793724714,2024-05-27 16:11:12
부산광역시 부산진구 부전동 224-7 주차장 진입후 전력관리처 주차장,완속,1085,완속05,충전가능,BC타입(5핀),320,부산울산전력관리처(공용),35.15277832380954,129.0606125547177,2024-05-27 16:13:45
부산광역시 부산진구 부전동 224-7 주차장 진입후 전력관리처 주차장,완속,1087,완속07,통신장애,BC타입(5핀),320,부산울산전력관리처(공용),35.15277832380954,129.0606125547177,2024-05-27 07:15:00
제주특별자치도 제주시 애월읍 일주서로 6513 입구 오른쪽,급속,1448,급속01,충전가능,DC차데모+DC콤보+AC3상,414,애월119센터,33.466829,126.348878,2024-05-27 16:15:00
제주특별자치도 제주시 애월읍 일주서로 6513 입구 오른쪽,급속,1449,급속02,충전가능,DC차데모+DC콤보+AC3상,414,애월119센터,33.466829,126.348878,2024-05-27 16:16:24
제주특별자치도 제주시 구좌읍 김녕료 14길 6 도로쪽 주차장,급속,1453,급속02,충전가능,DC차데모+DC콤보+AC3상,417,제주 동부보건소,33.554663,126.751331,2024-05-27 16:17:43
제주특별자치도 제주시 조천읍 신북로 337 입구 왼쪽,급속,1456,급속01,충전가능,DC차데모+DC콤보+AC3상,419,조천119센터,33.541344,126.64686,2024-05-27 16:14:36
제주특별자치도 제주시 산록북로 588 주차장 입구 왼쪽,급속,1457,급속01,충전가능,DC차데모+DC콤보+AC3상,420,한라산국립공원 관음사탐방안내소,33.422222,126.55028,2024-05-27 16:17:28
제주특별자치도 서귀포시 남원리 381 본관왼쪽 도로쪽,급속,1470,급속01,충전가능,DC차데모+DC콤보+AC3상,427,남원 의례회관 주차장,33.294428,126.711368,2024-05-27 16:17:05
경상남도 김해시 대동면 초정리 143-2 야외주차장,급속,6095,급속01,충전가능,DC차데모+DC콤보+AC3상,2207,김해 대동면사무소,35.242115026236085,128.98045435142063,2024-05-27 16:14:24
제주특별자치도 제주시 화북1동 4810 주차장,급속,8032,급속01,충전가능,DC차데모+DC콤보+AC3상,3023,제주 교육대학교,33.5142806614176,126.552622974713,2024-05-27 16:17:36
제주특별자치도 제주시 화북1동 4810 주차장,급속,8033,급속02,충전가능,DC차데모+DC콤보+AC3상,3023,제주 교육대학교,33.5142806614176,126.552622974713,2024-05-27 16:15:00
충청남도 태안군 태안읍 남문리 300-6 태안읍사무소 맞은편 주차장,급속,6879,급속01,충전가능,DC차데모+DC콤보+AC3상,2601,태안읍사무소 부설주차장,36.758208,126.296505,2024-05-27 16:16:04
부산광역시 동구 범일동 830-72 화신칼라 앞 전주부착형 충전소,완속,8112,완속01,충전가능,C타입(5핀),3075,(전주거치형)화신칼라,35.14126339443968,129.06288113298245,2024-05-27 16:12:06
경기도 수원시 영통구 이의동 907-1 지상 1층 주차장,급속,883,급속01,충전가능,DC차데모+DC콤보+AC3상,305,경기전력관리처,37.29317255646237,127.03691829989589,2024-05-27 16:15:33
전라남도 여수시 월하동 1145-5 (실외완전노출)주차장 10시방향 끝,급속,6012,급속02,충전가능,DC차데모+DC콤보+AC3상,2151,공단반점 앞 주차장,34.807831,127.669672,2024-05-27 16:15:34
강원도 고성군 거진읍 송포리 634-1 주차장,급속,8812,급속01,충전가능,DC차데모+DC콤보+AC3상,3465,국민체육센터,38.435167,128.452743,2024-05-27 16:16:58
제주특별자치도 건입동 908 주차장,급속,8813,급속01,충전가능,DC차데모+DC콤보+AC3상,3467,제주해양경찰서,33.519952,126.540272,2024-05-27 16:15:00
전라남도 장흥군 장흥읍 건산리 390-3 (실외완전노출)건물 주차장,급속,8151,급속01,충전가능,DC차데모+DC콤보+AC3상,3127,한전 장흥지사,34.6782598941,126.9085767312,2024-05-27 16:11:17
울산광역시 울주군 온산읍 삼평리 1487-10 공영주차장 입구 지나서 좌측,급속,8171,급속01,충전가능,DC차데모+DC콤보+AC3상,3118,회야강 소공원 공영주차장,35.425613,129.312112,2024-05-27 16:15:00
경상남도 창원시 성산구 사파정동 318 안내실옆 지상주차장,완속,239,완속02,충전가능,BC타입(5핀),84,창원축구센터,35.221691,128.70533,2024-05-27 16:15:22
경상북도 안동시 풍천면 도청대로 511 지상주차장(제2주차장 북측),급속,8454,급속02,충전가능,DC차데모+DC콤보+AC3상,3126,경상북도 교육청,36.579678,128.512719,2024-05-27 16:15:01
경상남도 양산시 동면 가산리 525 주차장내,급속,8153,급속01,충전가능,DC차데모+DC콤보+AC3상,3112,호포차량기지,35.2851906968,129.0170855139,2024-05-27 16:14:14
강원도 강릉시 안현동 868-2 경포상가번영회 앞 공영주차장,급속,6675,급속01,고장/점검,DC콤보,2437,경포해수욕장,37.802467,128.903439,2023-08-30 10:17:57
부산광역시 부산진구 범천동 861-1 1층 주차장,급속,8174,급속01,충전가능,DC차데모+DC콤보+AC3상,3120,부산교통공사 본사,35.1497692353,129.060459858,2024-05-27 16:14:47
충청남도 아산시 장존동 29-16 지상 주차장(건물뒤),급속,8184,급속01,충전중,DC차데모+DC콤보+AC3상,3094,온양6동주민센터,36.754773,127.019686,2024-05-27 16:15:00
제주특별자치도 서귀포시 감산리 345 주차장 오른쪽(도로쪽),급속,1482,급속02,충전가능,DC차데모+DC콤보+AC3상,433,안덕계곡 주차장,33.257836,126.353287,2024-05-27 16:16:29
경상남도 진주시 진양호로 477 지하3층주차장 F기둥,급속,6107,급속01,충전가능,DC차데모+DC콤보+AC3상,2219,이마트 진주점,35.191489,128.077416,2024-05-27 16:15:00
전라남도 영암군 삼호읍 나불리 611-11 (실외캐노피기설)대불자유무역지역관리원,급속,6906,급속01,충전가능,DC차데모+DC콤보+AC3상,2619,대불자유무역지역관리원 주차장,34.7700175583833,126.45975965504,2024-05-27 16:13:10
"제주특별자치도 서귀포시 안덕면 화순로 121-6 (화순리, 안덕면 종합복지회관) 본관 맞은편 주차장",급속,1495,급속01,충전가능,DC차데모+DC콤보+AC3상,441,안덕면종합복지회관,33.2460305935934,126.333534171835,2024-05-27 16:15:00
서울특별시 강서구 방화동 886 국제선 1층 버스정류장 도로변 끝,급속,1171,급속04,충전가능,DC차데모+DC콤보+AC3상,393,한국공항공사 서울,37.564285,126.800266,2024-05-27 16:13:28
제주특별자치도 제주시 연동 422 주차장 입구 왼쪽,급속,2181,급속01,고장/점검,DC차데모+DC콤보+AC3상,679,제주KCTV,33.4812468837388,126.495963702291,2024-05-02 14:45:17
전라남도 순천시 남정동 568-2 (실외완전노출)주차장 입구 우측,급속,6005,급속01,충전중,DC차데모+DC콤보+AC3상,2147,순천원예농협 하나로마트,34.939344,127.493203,2024-05-27 16:15:00
세종특별자치시 보람동 626-5 시청 서측 주차장,급속,8144,급속03,충전가능,DC차데모+DC콤보+AC3상,3105,세종시청주차장,36.479641,127.287069,2024-05-27 16:17:41
서울특별시 마포구 성산동 531 경기장 서편 주차장,급속,608,급속04,충전가능,DC차데모+DC콤보+AC3상,194,상암월드컵경기장,37.56838316139128,126.89494282897327,2024-05-27 16:11:46
대전광역시 서구 둔산로 100 시청 동편 옥외 주차장,급속,1497,급속02,충전가능,DC차데모+DC콤보+AC3상,446,대전광역시청 부설주차장,36.350731,127.386008,2024-05-27 16:13:10
서울특별시 동대문구 회기동 1-1 회기공영주차장 내,급속,642,급속02,충전가능,DC차데모+DC콤보+AC3상,209,회기동 공영주차장,37.5920731804727,127.055480410511,2024-05-27 16:16:11
대구광역시 달서구 두류동 597 광장휴게소 뒤쪽 주차장,급속,8825,급속01,충전가능,DC콤보,3475,두류공원 초급속 EV충전소,35.8526469161914,128.559065612166,2024-05-27 16:15:00
대전광역시 서구 둔산로 100 시청 동편 옥외 주차장,급속,1496,급속01,충전가능,DC차데모+DC콤보+AC3상,446,대전광역시청 부설주차장,36.350731,127.386008,2024-05-27 16:15:31
광주광역시 서구 농성동 161-1 (실외완전노출)고객전용 주차장,급속,271,급속01[VP],충전가능,DC차데모+DC콤보+AC3상,99,서광주지사,35.151457406749,126.891036796818,2024-05-27 16:13:18
전라남도 순천시 석현동 81 (실외완전노출)1층 주차장 우측,급속,274,급속01[VP],고장/점검,DC차데모+DC콤보+AC3상,100,순천지사,34.969237,127.485836,2023-07-12 01:24:13
전라남도 함평군 함평읍 내교리 485-12 (실외완전노출)지상주차장 좌측,완속,289,완속02,충전가능,BC타입(5핀),127,함평지사(공용),35.0602753806018,126.518479216474,2024-05-27 16:12:56
전라남도 해남군 해남읍 해리 162 (실외완전노출)정문 및 후문 주차장,급속,290,급속01[VP],고장/점검,DC차데모+DC콤보+AC3상,128,해남지사(공용),34.5718747760626,126.609329829919,2024-05-27 16:12:53
전라남도 화순군 화순읍 삼천리 651 (실외완전노출) 진입 후 우측,급속,294,급속01,충전중,DC차데모+DC콤보+AC3상,129,화순지사(공용),35.0560616351809,126.97915645947,2024-05-27 16:15:00
전라남도 화순군 화순읍 삼천리 651 (실외완전노출) 진입 후 우측,완속,295,완속01,충전가능,BC타입(5핀),129,화순지사(공용),35.0560616351809,126.97915645947,2024-05-27 16:16:14
제주특별자치도 서귀포시 신중로 56 정문주차장,급속,303,급속01,고장/점검,DC차데모+DC콤보+AC3상,133,서귀포지사,33.254374,126.510819,2024-05-23 08:50:40
서울특별시 중구 을지로7가 2-1 지하2층 주차장 진입 후 정면,급속,817,급속01,충전가능,DC차데모+DC콤보+AC3상,282,동대문디자인플라자,37.56621527115425,127.01015594111408,2024-05-27 16:14:24
서울특별시 중구 을지로7가 2-1 지하2층 주차장 진입 후 정면,급속,818,급속02,충전가능,DC차데모+DC콤보+AC3상,282,동대문디자인플라자,37.56621527115425,127.01015594111408,2024-05-27 16:16:06
서울특별시 종로구 소격동 165-10 지하3층 주차장 6번 기둥,급속,819,급속01,충전가능,DC차데모+DC콤보+AC3상,283,국립현대미술관 서울관,37.57820177225802,126.9801122216367,2024-05-27 16:13:17
서울특별시 마포구 성산동 531 경기장 서편 주차장,급속,609,급속05,충전중,DC차데모+DC콤보+AC3상,194,상암월드컵경기장,37.56838316139128,126.89494282897327,2024-05-27 16:15:00
